group_id,group_URLName,event_id,event_name,time,event_url
443233,Nyc-singles-Start-meeting-and-dating-in-New-York,267090537,"New Year's Eve LARGEST Singles Party (Open Bar, Comp Apps, DJ, Party Favors)",1577836800000,https://www.meetup.com/Nyc-singles-Start-meeting-and-dating-in-New-York/events/267090537/
443233,Nyc-singles-Start-meeting-and-dating-in-New-York,267003142,"New Year's Eve Singles Party! (Open Bar, Comp Apps, DJ, Champagne, Giveaways)",1577840400000,https://www.meetup.com/Nyc-singles-Start-meeting-and-dating-in-New-York/events/267003142/
459568,kundalininyc,qpwbcjyzqbpc,Kundalini Workshop,1577836800000,https://www.meetup.com/cda0269c-2450-4088-866b-9afd873426f6/events/267418370/
490499,NYC-Adventures,267088496,"New Year's Eve LARGEST Singles Party (Open Bar, Comp Apps, DJ, Party Favors)",1577836800000,https://www.meetup.com/NYC-Adventures/events/267088496/
490499,NYC-Adventures,267275366,50 & Over New Year's Eve Party,1577838600000,https://www.meetup.com/NYC-Adventures/events/267275366/
490499,NYC-Adventures,267000464,"New Year's Eve Singles Party! (Open Bar, Comp Apps, DJ, Champagne, Giveaways)",1577840400000,https://www.meetup.com/NYC-Adventures/events/267000464/
490499,NYC-Adventures,267095593,40 & Over NYC New Year's Eve Party,1577840400000,https://www.meetup.com/NYC-Adventures/events/267095593/
490552,ZorkasCustomerMakers,267437881,New York New Year's Eve Meetup Party,1577844000000,https://www.meetup.com/ZorkasCustomerMakers/events/267437881/
495495,nysocialnetwork,267091046,"New Year's Eve LARGEST Singles Party (Open Bar, Comp Apps, DJ, Party Favors)",1577836800000,https://www.meetup.com/nysocialnetwork/events/267091046/
495495,nysocialnetwork,267534582,"New Years Eve Party 20's-40's: Midtown, Live DJ, Apps, Games & Prizes",1577840400000,https://www.meetup.com/nysocialnetwork/events/267534582/
495495,nysocialnetwork,266800834,"Casual & Fun New Years Eve Party 20s- 40s: Live D.J., Appetizers, Fun & Games",1577840400000,https://www.meetup.com/nysocialnetwork/events/266800834/
495495,nysocialnetwork,266801039,"45+Plus NYE Party: Upscale, Friendly, Cozy, Live DJ, Appetizers, Games & Prizes",1577840400000,https://www.meetup.com/nysocialnetwork/events/266801039/
495495,nysocialnetwork,267004649,"New Year's Eve Singles Party! (Open Bar, Comp Apps, DJ, Champagne, Giveaways)",1577840400000,https://www.meetup.com/nysocialnetwork/events/267004649/
501565,unu-in,stwggqyzqbpc,Noten Meditation (野天禅),1577835000000,https://www.meetup.com/eastwest/events/267326355/
501565,unu-in,tlbplryzqbpc,Energy Flux,1577840400000,https://www.meetup.com/eastwest/events/267419996/
530404,meditation-379,qccrnyzqbnc,Meditation of the Light of the Most High,1577752200000,https://www.meetup.com/meditation-379/events/267404770/
572464,crochet-471,brknfryzqbpc,Creating Art,1577804400000,https://www.meetup.com/crochet-471/events/267411715/
610888,scuba-nj,267461180,New years eve dive,1577806200000,https://www.meetup.com/scuba-nj/events/267461180/
652285,ZorkasBizPros,267439413,New York City New Year's Event,1577844000000,https://www.meetup.com/ZorkasBizPros/events/267439413/
727520,nypoker,dbhdmgyzqbnc,1/3NLHOLDEM LONG ISLAND,1577755800000,https://www.meetup.com/nypoker/events/267405661/
745184,Zorkas-Art-Preneurs,267436590,New Year's Eve Party,1577844000000,https://www.meetup.com/Zorkas-Art-Preneurs/events/267436590/
755458,Zorkas-Digitalists,267437635,New Year's Eve Party,1577844000000,https://www.meetup.com/Zorkas-Digitalists/events/267437635/
756158,ZorkasLeaders,267437088,New Year's Eve Social Event,1577844000000,https://www.meetup.com/ZorkasLeaders/events/267437088/
777589,tennis-354,267037980,New Year's Eve 2020 Tennis Party at Binghamton Racquet Club,1577840400000,https://www.meetup.com/tennis-354/events/267037980/
787565,ACIM-class,qdcqjqyzqbnc,A Course in Miracles ongoing classes,1577752200000,https://www.meetup.com/ACIM-class/events/267404560/
